	Biobot-2021-01-17-RBDalt	
Covariant	Abundance	
A1250C(K417T) A1325T(D442V) T1355A(L452Q) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H)	0.016	
A1250C(K417T) T1299C(V433V) T1355A(L452Q) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H)	0.014	
A1250C(K417T) T1355A(L452Q) A1451C(E484A) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H)	0.006	
A1250C(K417T) T1355A(L452Q) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513A(Y505N) C1516A(Q506K)	0.016	
A1250C(K417T) T1355A(L452Q) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H)	0.777	
A1250C(K417T) T1355A(L452Q) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H) A1518C(Q506H)	0.010	
A1250C(K417T) T1355A(L452Q) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H) C1516A(Q506K)	0.098	
A1250C(K417T) T1355A(L452Q) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H) C1519A(P507T)	0.007	
A1250C(K417T) T1355A(L452Q) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H) C1520A(P507Q)	0.003	
A1250C(K417T) T1355A(L452Q) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H) C1524A(Y508*)	0.002	
A1250C(K417T) T1355A(L452Q) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H) CAA1516-1518AAC(Q506N)	0.002	
A1250C(K417T) T1355A(L452Q) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H) T1538G(L513R)	0.003	
A1250C(K417T) T1355A(L452Q) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H) T1539G(L513L)	0.002	
A1250C(K417T) T1355A(L452Q) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H) T1540G(S514A)	0.002	
A1250C(K417T) T1355A(L452Q) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H) T1543G(F515V)	0.003	
A1250C(K417T) T1355A(L452Q) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H) T1544G(F515C)	0.003	
A1250C(K417T) T1355A(L452Q) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) TAC1513-1515CAA(Y505Q)	0.009	
A1250C(K417T) T1355A(L452Q) A1478G(Q493R) CAA1492-1494TAC(Q498Y) AAT1501-1503TCT(N501S) T1513C(Y505H)	0.003	
A1250C(K417T) T1355A(L452Q) C1433A(T478K) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H)	0.003	
A1250C(K417T) T1355A(L452Q) G1430A(S477N) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H)	0.001	
A1250C(K417T) T1355A(L452Q) T1359A(Y453*) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H)	0.012	
A1250C(K417T) T1355A(L452Q) T1359C(Y453Y) A1478G(Q493R) CAA1492-1494TAC(Q498Y) A1502C(N501T) T1513C(Y505H)	0.007	
